id;tracking_code;date;details;invoice_id
1;contextually-based;2019-11-18T17:31:38;Jewelery cutting-edge;1
2;Games;2019-11-18T20:48:50;supply-chains magenta;2
3;encompassing;2019-11-19T03:12:45;Gloves sky blue Oklahoma;3
4;robust Engineer;2019-11-18T09:58:23;Quality-focused;4
5;card Plastic;2019-11-18T09:07:34;mission-critical;5
6;Berkshire Small Plastic Pants Investor;2019-11-19T03:19:20;Granite Berkshire Designer;6
7;Credit Card Account;2019-11-19T07:07:52;24/7 Re-contextualized cross-platform;7
8;invoice withdrawal;2019-11-18T20:12:47;Licensed hacking installation;8
9;Argentine Peso;2019-11-18T12:28:16;neural-net red;9
10;Buckinghamshire Future-proofed deposit;2019-11-19T04:53:13;Yen synthesize Creative;10
